customer_id,propensity_score,actual_response,priority_segment,business_meaning,outreach_rank
8062,0.9999871070387647,1,High Priority,Strong candidate for immediate outreach,1
128,0.9999869649353149,1,High Priority,Strong candidate for immediate outreach,2
2838,0.9999855473790585,1,High Priority,Strong candidate for immediate outreach,3
2611,0.9999847261017557,1,High Priority,Strong candidate for immediate outreach,4
1127,0.9999816813586518,1,High Priority,Strong candidate for immediate outreach,5
1750,0.999980595776101,1,High Priority,Strong candidate for immediate outreach,6
2058,0.9999773268855788,1,High Priority,Strong candidate for immediate outreach,7
1094,0.9999771124104436,1,High Priority,Strong candidate for immediate outreach,8
6283,0.9999771051421966,1,High Priority,Strong candidate for immediate outreach,9
7431,0.9999763897387726,1,High Priority,Strong candidate for immediate outreach,10
3240,0.9999755344028292,1,High Priority,Strong candidate for immediate outreach,11
6019,0.999973237839086,1,High Priority,Strong candidate for immediate outreach,12
6744,0.9999726899671932,1,High Priority,Strong candidate for immediate outreach,13
7731,0.999972552382143,1,High Priority,Strong candidate for immediate outreach,14
6734,0.9999724362114539,1,High Priority,Strong candidate for immediate outreach,15
1951,0.9999721703539511,1,High Priority,Strong candidate for immediate outreach,16
22,0.9999710470357975,1,High Priority,Strong candidate for immediate outreach,17
5001,0.9999702812074575,1,High Priority,Strong candidate for immediate outreach,18
4793,0.999968691985781,1,High Priority,Strong candidate for immediate outreach,19
5011,0.9999685303357926,1,High Priority,Strong candidate for immediate outreach,20
6369,0.9999684699456963,1,High Priority,Strong candidate for immediate outreach,21
2417,0.999968050575613,1,High Priority,Strong candidate for immediate outreach,22
4326,0.999967819129711,1,High Priority,Strong candidate for immediate outreach,23
5075,0.9999676906012738,1,High Priority,Strong candidate for immediate outreach,24
6240,0.9999672696404625,1,High Priority,Strong candidate for immediate outreach,25
783,0.9999672222132656,1,High Priority,Strong candidate for immediate outreach,26
3734,0.9999659385376766,1,High Priority,Strong candidate for immediate outreach,27
1243,0.9999655047688515,1,High Priority,Strong candidate for immediate outreach,28
5463,0.9999648248048508,1,High Priority,Strong candidate for immediate outreach,29
5250,0.9999643339404994,1,High Priority,Strong candidate for immediate outreach,30
4686,0.9999638823315843,1,High Priority,Strong candidate for immediate outreach,31
2617,0.9999635558862398,1,High Priority,Strong candidate for immediate outreach,32
7854,0.9999631170834825,1,High Priority,Strong candidate for immediate outreach,33
1561,0.999962983290216,1,High Priority,Strong candidate for immediate outreach,34
7738,0.9999617582589287,1,High Priority,Strong candidate for immediate outreach,35
5520,0.9999615709586376,1,High Priority,Strong candidate for immediate outreach,36
3021,0.9999611079544017,1,High Priority,Strong candidate for immediate outreach,37
312,0.9999606051087108,1,High Priority,Strong candidate for immediate outreach,38
