Customer ID,Probability,Segment,Next Best Action
8062,1.0,High Priority,Priority sales outreach
128,1.0,High Priority,Priority sales outreach
2838,1.0,High Priority,Priority sales outreach
2611,1.0,High Priority,Priority sales outreach
1127,1.0,High Priority,Priority sales outreach
1750,1.0,High Priority,Priority sales outreach
2058,1.0,High Priority,Priority sales outreach
1094,1.0,High Priority,Priority sales outreach
6283,1.0,High Priority,Priority sales outreach
7431,1.0,High Priority,Priority sales outreach
3240,1.0,High Priority,Priority sales outreach
6019,1.0,High Priority,Priority sales outreach
6744,1.0,High Priority,Priority sales outreach
7731,1.0,High Priority,Priority sales outreach
6734,1.0,High Priority,Priority sales outreach
1951,1.0,High Priority,Priority sales outreach
22,1.0,High Priority,Priority sales outreach
5001,1.0,High Priority,Priority sales outreach
4793,1.0,High Priority,Priority sales outreach
5011,1.0,High Priority,Priority sales outreach
6369,1.0,High Priority,Priority sales outreach
2417,1.0,High Priority,Priority sales outreach
4326,1.0,High Priority,Priority sales outreach
5075,1.0,High Priority,Priority sales outreach
6240,1.0,High Priority,Priority sales outreach
783,1.0,High Priority,Priority sales outreach
3734,1.0,High Priority,Priority sales outreach
1243,1.0,High Priority,Priority sales outreach
5463,1.0,High Priority,Priority sales outreach
5250,1.0,High Priority,Priority sales outreach
4686,1.0,High Priority,Priority sales outreach
2617,1.0,High Priority,Priority sales outreach
7854,1.0,High Priority,Priority sales outreach
1561,1.0,High Priority,Priority sales outreach
7738,1.0,High Priority,Priority sales outreach
5520,1.0,High Priority,Priority sales outreach
3021,1.0,High Priority,Priority sales outreach
312,1.0,High Priority,Priority sales outreach
5875,1.0,High Priority,Priority sales outreach
5423,1.0,High Priority,Priority sales outreach
4501,1.0,High Priority,Priority sales outreach
4699,1.0,High Priority,Priority sales outreach
4764,1.0,High Priority,Priority sales outreach
5456,1.0,High Priority,Priority sales outreach
6405,1.0,High Priority,Priority sales outreach
7627,1.0,High Priority,Priority sales outreach
5648,1.0,High Priority,Priority sales outreach
5182,1.0,High Priority,Priority sales outreach
2453,1.0,High Priority,Priority sales outreach
3400,1.0,High Priority,Priority sales outreach
5765,1.0,High Priority,Priority sales outreach
429,1.0,High Priority,Priority sales outreach
7043,1.0,High Priority,Priority sales outreach
6572,1.0,High Priority,Priority sales outreach
4636,1.0,High Priority,Priority sales outreach
7779,1.0,High Priority,Priority sales outreach
8130,1.0,High Priority,Priority sales outreach
4459,1.0,High Priority,Priority sales outreach
17,1.0,High Priority,Priority sales outreach
7475,1.0,High Priority,Priority sales outreach
905,1.0,High Priority,Priority sales outreach
8040,1.0,High Priority,Priority sales outreach
3635,1.0,High Priority,Priority sales outreach
4849,1.0,High Priority,Priority sales outreach
4170,1.0,High Priority,Priority sales outreach
3765,1.0,High Priority,Priority sales outreach
6655,1.0,High Priority,Priority sales outreach
1186,1.0,High Priority,Priority sales outreach
3950,1.0,High Priority,Priority sales outreach
8073,1.0,High Priority,Priority sales outreach
3448,1.0,High Priority,Priority sales outreach
873,1.0,High Priority,Priority sales outreach
2434,1.0,High Priority,Priority sales outreach
1899,1.0,High Priority,Priority sales outreach
7667,1.0,High Priority,Priority sales outreach
2251,1.0,High Priority,Priority sales outreach
942,1.0,High Priority,Priority sales outreach
5813,1.0,High Priority,Priority sales outreach
4586,1.0,High Priority,Priority sales outreach
1895,1.0,High Priority,Priority sales outreach
5409,1.0,High Priority,Priority sales outreach
2213,1.0,High Priority,Priority sales outreach
4843,1.0,High Priority,Priority sales outreach
851,1.0,High Priority,Priority sales outreach
5827,1.0,High Priority,Priority sales outreach
4048,1.0,High Priority,Priority sales outreach
88,1.0,High Priority,Priority sales outreach
3180,1.0,High Priority,Priority sales outreach
2890,1.0,High Priority,Priority sales outreach
3660,1.0,High Priority,Priority sales outreach
7438,1.0,High Priority,Priority sales outreach
4431,1.0,High Priority,Priority sales outreach
1735,1.0,High Priority,Priority sales outreach
1085,1.0,High Priority,Priority sales outreach
5840,1.0,High Priority,Priority sales outreach
1084,1.0,High Priority,Priority sales outreach
5123,1.0,High Priority,Priority sales outreach
7561,1.0,High Priority,Priority sales outreach
3661,1.0,High Priority,Priority sales outreach
7123,1.0,High Priority,Priority sales outreach
3623,1.0,High Priority,Priority sales outreach
4572,1.0,High Priority,Priority sales outreach
4773,1.0,High Priority,Priority sales outreach
4888,1.0,High Priority,Priority sales outreach
2934,1.0,High Priority,Priority sales outreach
3821,1.0,High Priority,Priority sales outreach
4067,1.0,High Priority,Priority sales outreach
1307,1.0,High Priority,Priority sales outreach
3539,1.0,High Priority,Priority sales outreach
4235,1.0,High Priority,Priority sales outreach
5062,1.0,High Priority,Priority sales outreach
5108,1.0,High Priority,Priority sales outreach
827,1.0,High Priority,Priority sales outreach
4543,1.0,High Priority,Priority sales outreach
5241,1.0,High Priority,Priority sales outreach
2479,1.0,High Priority,Priority sales outreach
4481,1.0,High Priority,Priority sales outreach
7117,1.0,High Priority,Priority sales outreach
3273,1.0,High Priority,Priority sales outreach
5359,1.0,High Priority,Priority sales outreach
251,1.0,High Priority,Priority sales outreach
3989,1.0,High Priority,Priority sales outreach
4039,1.0,High Priority,Priority sales outreach
