Campaign Rank,Customer ID,Probability,Segment,Next Best Action,campaign,previous,contact_fatigue_flag,excessive_prior_contacts,expected_business_value
1,128,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
2,2838,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
3,1750,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
4,7431,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
5,3240,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
6,6744,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
7,6734,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
8,1951,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
9,22,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
10,5001,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
11,6369,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
12,2417,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
13,4326,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
14,6240,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
15,3734,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
16,1243,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
17,5250,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
18,4686,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
19,7854,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
20,1561,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
21,7738,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
22,312,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
23,5423,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
24,4699,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
25,5182,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
26,2453,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
27,5765,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
28,429,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
29,7043,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
30,4636,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
31,4459,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
32,17,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
33,7475,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
34,905,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
35,8040,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
36,4849,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
37,1186,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
38,3950,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
39,8073,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
40,873,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
41,1899,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
42,942,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
43,5813,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
44,4586,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
45,4843,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
46,851,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
47,5827,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
48,4048,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
49,88,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
50,3180,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
51,2890,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
52,3660,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
53,7438,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
54,4431,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
55,1735,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
56,5840,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
57,5123,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
58,3661,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
59,7123,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
60,3623,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
61,4572,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
62,4773,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
63,4888,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
64,2934,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
65,4067,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
66,1307,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
67,4235,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
68,5062,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
69,5108,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
70,4543,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
71,2479,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
72,4481,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
73,7117,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
74,3273,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
75,251,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
76,3989,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
77,6160,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
78,2738,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
79,7815,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
80,7058,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
81,6838,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
82,2173,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
83,4692,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
84,6674,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
85,1445,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
86,5897,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
87,2422,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
88,338,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
89,2302,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
90,635,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
91,6213,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
92,493,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
93,2828,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
94,5740,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
95,4855,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
96,1547,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
97,4531,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
98,7099,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
99,7836,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
100,4282,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
101,7943,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
102,833,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
103,1579,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
104,1776,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
105,2303,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
106,6301,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
107,399,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
108,879,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
109,618,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
110,385,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
111,2273,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
112,3218,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
113,2118,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
114,7877,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
115,151,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
116,3609,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
117,5654,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
118,994,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
119,5621,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
120,302,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
121,4683,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
122,2728,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
123,2591,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
124,4963,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
125,1653,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
126,801,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
127,4009,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
128,5777,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
129,2215,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
130,6658,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
131,5352,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
132,1272,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
133,1710,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
134,1915,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
135,3294,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
136,4682,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
137,7885,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
138,6895,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
139,6552,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
140,2461,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
141,996,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
142,6490,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
143,4885,1.0,High Priority,Priority sales outreach,1,0,False,False,1.2000000000000002
144,5931,1.0,High Priority,Priority sales outreach,2,0,False,False,1.2000000000000002
