customer_id,predicted_response_probability,actual_response,customer_rank
Customer 40662,0.9999892591426665,yes,1
Customer 38284,0.9999871070387647,yes,2
Customer 38432,0.9999869649353149,yes,3
Customer 40692,0.9999855717875483,yes,4
Customer 40991,0.9999855473790585,yes,5
Customer 37368,0.9999852302376697,yes,6
Customer 40274,0.999984810807628,yes,7
Customer 40942,0.9999847261017557,yes,8
Customer 40726,0.99998286689179,yes,9
Customer 36632,0.9999820416793451,yes,10
Customer 39306,0.9999820070972572,yes,11
Customer 37872,0.999981845855061,yes,12
Customer 40124,0.9999816813586518,yes,13
Customer 40760,0.9999810127735866,yes,14
Customer 39842,0.999980595776101,yes,15
Customer 36382,0.9999805595514204,yes,16
Customer 39335,0.9999795467334118,yes,17
Customer 40691,0.9999792269619682,yes,18
Customer 37934,0.9999791412215824,yes,19
Customer 40657,0.9999784960762924,yes,20
Customer 40715,0.9999777234035344,yes,21
Customer 38811,0.9999777200574558,yes,22
Customer 40876,0.9999774548937036,yes,23
Customer 40106,0.9999773268855788,yes,24
Customer 39448,0.9999771364863704,yes,25
Customer 38275,0.9999771124104436,yes,26
Customer 37356,0.9999771051421966,yes,27
Customer 39042,0.9999763897387726,yes,28
Customer 37129,0.9999762021033594,yes,29
Customer 40277,0.9999755344028292,yes,30
Customer 40974,0.9999755187765018,yes,31
Customer 41023,0.9999754565724925,yes,32
Customer 39709,0.9999752919001313,yes,33
Customer 38487,0.9999743345235436,yes,34
Customer 38348,0.9999743314101224,yes,35
Customer 39316,0.9999742269168274,yes,36
Customer 40995,0.9999742178842369,yes,37
Customer 38687,0.9999740996174127,yes,38
Customer 38975,0.9999738731862915,yes,39
Customer 39757,0.9999737516178594,yes,40
Customer 38765,0.9999736281483981,yes,41
Customer 40560,0.9999735399867897,yes,42
Customer 40576,0.9999735186464614,yes,43
Customer 30158,0.9999734375033491,yes,44
Customer 38759,0.999973237839086,yes,45
Customer 40280,0.9999729269216655,yes,46
Customer 30419,0.9999728517032429,yes,47
Customer 39226,0.9999727355181782,yes,48
Customer 39499,0.9999726899671932,yes,49
Customer 39227,0.9999726683519167,yes,50
Customer 40105,0.9999726413644501,yes,51
Customer 39398,0.9999725708967941,yes,52
Customer 40781,0.999972552382143,yes,53
Customer 40800,0.9999725499082112,yes,54
Customer 40700,0.9999724529148459,yes,55
