decile,customer_count,responders,average_predicted_probability,response_rate,lift,cumulative_responders,cumulative_customers,cumulative_response_rate,cumulative_lift
1,4119,4119,0.9998635279993286,1.0,8.876724137931033,4119,4119,1.0,8.876724137931033
2,4119,521,0.12681870633683937,0.12648701141053653,1.1227903073226677,4640,8238,0.5632435057052683,4.999757222626851
3,4119,0,0.0002476846024245604,0.0,0.0,4640,12357,0.37549567047017884,3.333171481751234
4,4118,0,0.00020782631992244348,0.0,0.0,4640,16475,0.281638846737481,2.500030349013657
5,4119,0,0.00018378187369887816,0.0,0.0,4640,20594,0.22530834223560262,2.0
6,4119,0,0.00016660013361387242,0.0,0.0,4640,24713,0.18775543236353337,1.6666531784890544
7,4118,0,0.0001523801210607475,0.0,0.0,4640,28831,0.16093787936596024,1.4286011584752523
8,4119,0,0.00013918671241177594,0.0,0.0,4640,32950,0.1408194233687405,1.2500151745068284
9,4119,0,0.000125183975058756,0.0,0.0,4640,37069,0.12517197658420784,1.111117105937576
10,4119,0,0.00010431345857894141,0.0,0.0,4640,41188,0.11265417111780131,1.0
